epoch:95 train_loss:0.679 train_acc:0.7585 test_acc:0.742
epoch:96 train_loss:0.681 train_acc:0.75836 test_acc:0.742
epoch:97 train_loss:0.673 train_acc:0.76 test_acc:0.742
epoch:98 train_loss:0.675 train_acc:0.76062 test_acc:0.748
epoch:99 train_loss:0.669 train_acc:0.76112 test_acc:0.743
epoch:100 train_loss:0.661 train_acc:0.76372 test_acc:0.744
epoch:101 train_loss:0.662 train_acc:0.76534 test_acc:0.746
epoch:102 train_loss:0.655 train_acc:0.76556 test_acc:0.748
epoch:103 train_loss:0.651 train_acc:0.76826 test_acc:0.748
epoch:104 train_loss:0.653 train_acc:0.76904 test_acc:0.751
epoch:105 train_loss:0.648 train_acc:0.771 test_acc:0.750
epoch:106 train_loss:0.646 train_acc:0.7697 test_acc:0.747
epoch:107 train_loss:0.648 train_acc:0.76834 test_acc:0.746
epoch:108 train_loss:0.641 train_acc:0.77112 test_acc:0.752
epoch:109 train_loss:0.639 train_acc:0.77038 test_acc:0.757
epoch:110 train_loss:0.631 train_acc:0.77328 test_acc:0.747
epoch:111 train_loss:0.630 train_acc:0.77546 test_acc:0.752
epoch:112 train_loss:0.631 train_acc:0.7753 test_acc:0.749
epoch:113 train_loss:0.626 train_acc:0.77752 test_acc:0.752
epoch:114 train_loss:0.621 train_acc:0.7792 test_acc:0.755
epoch:115 train_loss:0.620 train_acc:0.77846 test_acc:0.756
epoch:116 train_loss:0.611 train_acc:0.78236 test_acc:0.758
epoch:117 train_loss:0.619 train_acc:0.7798 test_acc:0.758
epoch:118 train_loss:0.609 train_acc:0.78384 test_acc:0.759
epoch:119 train_loss:0.607 train_acc:0.78374 test_acc:0.758
epoch:120 train_loss:0.605 train_acc:0.78522 test_acc:0.755
epoch:121 train_loss:0.607 train_acc:0.7855 test_acc:0.759
epoch:122 train_loss:0.598 train_acc:0.78752 test_acc:0.760
epoch:123 train_loss:0.602 train_acc:0.78498 test_acc:0.761
epoch:124 train_loss:0.599 train_acc:0.78654 test_acc:0.764
epoch:125 train_loss:0.591 train_acc:0.78996 test_acc:0.760
epoch:126 train_loss:0.586 train_acc:0.7916 test_acc:0.764
epoch:127 train_loss:0.587 train_acc:0.79136 test_acc:0.763
epoch:128 train_loss:0.585 train_acc:0.79366 test_acc:0.762
epoch:129 train_loss:0.582 train_acc:0.79262 test_acc:0.763
epoch:130 train_loss:0.579 train_acc:0.79286 test_acc:0.761
epoch:131 train_loss:0.577 train_acc:0.79284 test_acc:0.763
epoch:132 train_loss:0.577 train_acc:0.79426 test_acc:0.765
epoch:133 train_loss:0.575 train_acc:0.79476 test_acc:0.765
epoch:134 train_loss:0.572 train_acc:0.79714 test_acc:0.768
epoch:135 train_loss:0.570 train_acc:0.79648 test_acc:0.765
epoch:136 train_loss:0.575 train_acc:0.7944 test_acc:0.768
epoch:137 train_loss:0.570 train_acc:0.7965 test_acc:0.764
epoch:138 train_loss:0.564 train_acc:0.79946 test_acc:0.767
epoch:139 train_loss:0.564 train_acc:0.79804 test_acc:0.768
epoch:140 train_loss:0.560 train_acc:0.79876 test_acc:0.769
epoch:141 train_loss:0.564 train_acc:0.79776 test_acc:0.766
epoch:142 train_loss:0.557 train_acc:0.80132 test_acc:0.763
epoch:143 train_loss:0.562 train_acc:0.8002 test_acc:0.769
epoch:144 train_loss:0.562 train_acc:0.79944 test_acc:0.767
epoch:145 train_loss:0.554 train_acc:0.80224 test_acc:0.766
epoch:146 train_loss:0.556 train_acc:0.80106 test_acc:0.765
epoch:147 train_loss:0.548 train_acc:0.80488 test_acc:0.768
epoch:148 train_loss:0.550 train_acc:0.80356 test_acc:0.767
epoch:149 train_loss:0.550 train_acc:0.8039 test_acc:0.772
epoch:150 train_loss:0.546 train_acc:0.80466 test_acc:0.769
epoch:151 train_loss:0.545 train_acc:0.80704 test_acc:0.768
epoch:152 train_loss:0.545 train_acc:0.80516 test_acc:0.769
epoch:153 train_loss:0.542 train_acc:0.80648 test_acc:0.769
epoch:154 train_loss:0.545 train_acc:0.80542 test_acc:0.772
epoch:155 train_loss:0.536 train_acc:0.81006 test_acc:0.771
epoch:156 train_loss:0.540 train_acc:0.80538 test_acc:0.769
epoch:157 train_loss:0.537 train_acc:0.80732 test_acc:0.768
epoch:158 train_loss:0.537 train_acc:0.8076 test_acc:0.769
epoch:159 train_loss:0.535 train_acc:0.80902 test_acc:0.771
epoch:160 train_loss:0.536 train_acc:0.80852 test_acc:0.769
epoch:161 train_loss:0.537 train_acc:0.80666 test_acc:0.768
epoch:162 train_loss:0.533 train_acc:0.81138 test_acc:0.768
epoch:163 train_loss:0.536 train_acc:0.80886 test_acc:0.771
epoch:164 train_loss:0.528 train_acc:0.81148 test_acc:0.772
epoch:165 train_loss:0.528 train_acc:0.81218 test_acc:0.772
epoch:166 train_loss:0.532 train_acc:0.80856 test_acc:0.770
epoch:167 train_loss:0.534 train_acc:0.81152 test_acc:0.772
epoch:168 train_loss:0.530 train_acc:0.81104 test_acc:0.770
epoch:169 train_loss:0.528 train_acc:0.8125 test_acc:0.773
epoch:170 train_loss:0.526 train_acc:0.81098 test_acc:0.770
epoch:171 train_loss:0.521 train_acc:0.8139 test_acc:0.773
epoch:172 train_loss:0.525 train_acc:0.81544 test_acc:0.772
epoch:173 train_loss:0.526 train_acc:0.8115 test_acc:0.771
epoch:174 train_loss:0.526 train_acc:0.81222 test_acc:0.772
epoch:175 train_loss:0.521 train_acc:0.81486 test_acc:0.770
epoch:176 train_loss:0.523 train_acc:0.81184 test_acc:0.771
epoch:177 train_loss:0.521 train_acc:0.8138 test_acc:0.772
epoch:178 train_loss:0.517 train_acc:0.8135 test_acc:0.772
epoch:179 train_loss:0.523 train_acc:0.8127 test_acc:0.771
epoch:180 train_loss:0.521 train_acc:0.8139 test_acc:0.771
epoch:181 train_loss:0.520 train_acc:0.81556 test_acc:0.772
epoch:182 train_loss:0.521 train_acc:0.81276 test_acc:0.771
epoch:183 train_loss:0.521 train_acc:0.81404 test_acc:0.771
epoch:184 train_loss:0.515 train_acc:0.81704 test_acc:0.771
epoch:185 train_loss:0.517 train_acc:0.81518 test_acc:0.771
epoch:186 train_loss:0.514 train_acc:0.81746 test_acc:0.772
epoch:187 train_loss:0.520 train_acc:0.81426 test_acc:0.772
epoch:188 train_loss:0.521 train_acc:0.81512 test_acc:0.771
epoch:189 train_loss:0.516 train_acc:0.81684 test_acc:0.772
epoch:190 train_loss:0.521 train_acc:0.81354 test_acc:0.771
epoch:191 train_loss:0.518 train_acc:0.81632 test_acc:0.771
epoch:192 train_loss:0.516 train_acc:0.81664 test_acc:0.772
epoch:193 train_loss:0.519 train_acc:0.81434 test_acc:0.772
epoch:194 train_loss:0.519 train_acc:0.8144 test_acc:0.772
epoch:195 train_loss:0.517 train_acc:0.81542 test_acc:0.772
epoch:196 train_loss:0.517 train_acc:0.8152 test_acc:0.772
epoch:197 train_loss:0.520 train_acc:0.81548 test_acc:0.772
epoch:198 train_loss:0.516 train_acc:0.81706 test_acc:0.772
epoch:199 train_loss:0.518 train_acc:0.8144 test_acc:0.772
epoch:200 train_loss:0.517 train_acc:0.81616 test_acc:0.772

